LOSS,LEARNING_RATE,MOMENTUM,NEURON_COUNT,HIT,TOTAL,EPOCH
0.244859978556633,0.001,0,8,1528,1882,10
1.1648473739624023,0.001,0.1,8,1528,1882,10
2.277824878692627,0.001,0.2,8,1532,1882,10
1.458146095275879,0.001,0.30000000000000004,8,1556,1882,10
0.10995233058929443,0.001,0.4,8,1564,1882,10
0.4399681091308594,0.001,0.5,8,1564,1882,10
1.107574462890625,0.001,0.6,8,1569,1882,10
1.2013458013534546,0.001,0.7,8,1567,1882,10
0.8612297177314758,0.001,0.7999999999999999,8,1561,1882,10
1.1457607746124268,0.001,0.8999999999999999,8,1557,1882,10
0.35537371039390564,0.001,0.9999999999999999,8,1528,1882,10
1.4702013731002808,0.001,0,16,1528,1882,10
0.20650358498096466,0.001,0.1,16,1528,1882,10
0.12257548421621323,0.001,0.2,16,1548,1882,10
0.17221976816654205,0.001,0.30000000000000004,16,1600,1882,10
0.3516755998134613,0.001,0.4,16,1608,1882,10
0.07892099767923355,0.001,0.5,16,1618,1882,10
0.2625243663787842,0.001,0.6,16,1616,1882,10
0.7803452610969543,0.001,0.7,16,1618,1882,10
0.822516679763794,0.001,0.7999999999999999,16,1616,1882,10
1.3386150598526,0.001,0.8999999999999999,16,1623,1882,10
0.1116529330611229,0.001,0.9999999999999999,16,1528,1882,10
1.6711039543151855,0.001,0,32,1528,1882,10
0.16317006945610046,0.001,0.1,32,1529,1882,10
0.2732839584350586,0.001,0.2,32,1557,1882,10
0.1289394646883011,0.001,0.30000000000000004,32,1597,1882,10
1.0452247858047485,0.001,0.4,32,1608,1882,10
0.5747641324996948,0.001,0.5,32,1623,1882,10
0.04084761440753937,0.001,0.6,32,1623,1882,10
1.5012785196304321,0.001,0.7,32,1618,1882,10
0.01202719658613205,0.001,0.7999999999999999,32,1625,1882,10
0.03869267553091049,0.001,0.8999999999999999,32,1636,1882,10
0.24723698198795319,0.001,0.9999999999999999,32,1528,1882,10
